,manager,predicted_points_per_season_added,previous_club_names,previous_club_ids,previous_club_countries,current_club_name,current_club_id,currently_employed
201,Cosmin Contra,-0.14018413794910198,['Getafe'],[3709],['Spain'],,,0
202,Antonio Mohamed,-0.14094841937232097,['Celta Vigo'],[940],['Spain'],,,0
203,Xavier Gravelaine,-0.14130189342630803,['Istres'],[2580],['France'],,,0
204,José Pasqualetti,-0.14464399685558402,"['Ajaccio', 'Sedan']","[1147, 1081]","['France', 'France']",,,0
205,Jocelyn Gourvennec,-0.14528147842452802,"['Guingamp', 'Bordeaux', 'Guingamp']","[855, 40, 855]","['France', 'France', 'France']",Guingamp,855.0,1
206,Josep María Nogués,-0.153564687261076,['Real Betis'],[150],['Spain'],,,0
207,Llompart,-0.155930048930288,['Mallorca'],[237],['Spain'],,,0
208,Jürgen Kohler,-0.158692377866676,['Duisburg'],[52],['Germany'],,,0
209,Jordi Roura,-0.16422846316950698,"['Barcelona', 'Barcelona']","[131, 131]","['Spain', 'Spain']",,,0
210,Manuel Zambrano,-0.164520206208239,['Recreativo'],[2867],['Spain'],,,0
