,TM_manager_name,tenure1_overperformance,tenure1_above_expectation,tenure2_overperformance,tenure2_above_expectation,tenure3_overperformance,tenure3_above_expectation,tenure4_overperformance,tenure4_above_expectation,tenure5_overperformance,tenure5_above_expectation
252,Edoardo Reja,1,0.10090000947841182,1.0,0.1715668615409136,1.0,0.0755340350238971,0.0,-0.09133933450571674,,
253,Holger Stanislawski,0,-0.18281012088606408,0.0,-0.09915294257942331,,,,,,
254,Jean-Pierre Papin,0,-0.4411133502503275,,,,,,,,
255,Aidy Boothroyd,0,-0.1257914944811669,,,,,,,,
256,José Mari Bakero,0,-0.2621859390936603,,,,,,,,
257,Marco Giampaolo,0,-0.19226618353432645,0.0,-0.03955129410047564,1.0,0.02120240657071082,0.0,-0.05311690661730761,1.0,0.18993564507573701
258,Ivan Hasek,1,0.008722164323113235,,,,,,,,
259,Néstor Gorosito,1,0.236792177182781,,,,,,,,
260,Cuco Ziganda,0,-0.1670656680599205,0.0,-0.6060171220757072,0.0,-0.3682648628195393,,,,
261,Miguel Ángel Portugal,1,0.2086517338198599,0.0,-0.12529290225105782,,,,,,
262,Ciro Ferrara,0,-0.4036546774000116,0.0,-0.0532909533740864,,,,,,
263,Gareth Southgate,0,-0.18467809519363354,,,,,,,,
264,Pierre Dréossi,1,0.0025430573706450854,,,,,,,,
265,Staale Solbakken,0,-0.3744152901013015,,,,,,,,
266,Gian Piero Gasperini,1,0.17872904678151036,0.0,-0.4205015357242152,1.0,0.1434718318751551,1.0,0.4597349097791339,,
267,Bruno Giordano,0,-0.3571730817693326,,,,,,,,
268,Antonio Conte,1,0.4411816809273048,1.0,0.3836954294948103,1.0,0.10462606040841127,,,,
269,Bernard Casoni,1,0.007316774716336516,0.0,-0.08835946394848015,,,,,,
270,Slaven Bilic,1,0.03579546744826456,,,,,,,,
271,John Carver,0,-0.5765830860548297,,,,,,,,
272,Roy Keane,1,0.0011093634335983538,,,,,,,,
273,Laurent Banide,0,-0.09343733212756833,0.0,-0.04072791308173884,,,,,,
274,Rémi Garde,0,-0.019117680334076015,0.0,-0.5507481427803739,,,,,,
275,Thorsten Fink,0,-0.10137510933897342,,,,,,,,
276,Pasquale Marino,1,0.04038999837047297,1.0,0.06551550892215263,0.0,-0.21010862562196242,,,,
277,Miroslav Djukic,1,0.05510743931593409,0.0,-0.3350009855353788,0.0,-0.341720902025212,,,,
278,Davide Ballardini,1,0.5292910110087975,1.0,0.2789305346826263,0.0,-0.589744540053321,1.0,0.048802250180715046,0.0,-0.051662601846646616
279,Roger Schmidt,1,0.10226266687732966,,,,,,,,
280,Georges Eo,0,-0.3238715004412547,,,,,,,,
281,Francis De Taddeo,0,-0.7131636589987136,,,,,,,,
282,Siniša Mihajlovi?,1,0.03232934715159341,1.0,0.41146096552978895,0.0,-0.18090248909509565,1.0,0.3721299989512712,0.0,-0.08567746839194235
283,Arnaud Cormier,0,-0.18677213215701505,,,,,,,,
284,Sylvain Ripoll,0,-0.10392952015072221,,,,,,,,
285,Michel Der Zakarian,0,-0.27608859375483763,1.0,0.05125558996371393,1.0,0.19627960066976158,,,,
