country,party_id,party_abbrev,party_name_english,previous_election_date,previous_election_source,previous_election_share,previous_election_notes,previous_election_total_votes,previous_election_party_votes,latest_election,latest_election_source,latest_election_share,latest_election_notes,last_election_total_votes,last_election_party_votes
Ireland,708,SP,"Socialist Party	Páirtí Sóisialach",2011,http://www.parlgov.org/explore/IRL/election/2011-02-25/,1.2,,2220359,26644,2016,http://www.parlgov.org/explore/IRL/election/2016-02-26/,4,,2132790,85312
Ireland,709,PBPA,"People Before Profit Alliance	People Before Profit Alliance",2011,http://www.parlgov.org/explore/IRL/election/2011-02-25/,1,,2220359,22204,2016,http://www.parlgov.org/explore/IRL/election/2016-02-26/,0,,2132790,0
Italy,803,RC,"Communist Refoundation Party	Partito della Rifondazione Communista",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,0,,34002524,0,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,0,,32841025,0
Italy,811,LN,"Northern League	Lega Nord",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,4.1,,34002524,1394103,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,17.4,,32841025,5714338
Italy,814,UDC,"Union of the Centre	Unione di Centro",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,1.8,,34002524,612045,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,1.3,Coalition NcI,32841025,426933
Italy,815,FI,"Forward Italy	Forza Italia",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,22,Rename PdL,34002524,7480555,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,14,,32841025,4597744
Italy,827,SVP,"South Tyrolean People’s Party	Südtiroler Volkspartei",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,0.4,,34002524,136010,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,0.4,,32841025,131364
Italy,837,PD,"Democratic Party	Partito Democratico",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,26.3,,34002524,8942664,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,18.8,,32841025,6174113
Italy,838,SEL,"Left Ecology Freedom	Sinistra Ecologia Libertá",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,3.3,,34002524,1122083,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,0,,32841025,0
Italy,843,CD,"Democratic Centre	Centro Democratico—Diritti e Libertá",2013,http://www.parlgov.org/explore/ITA/election/2013-02-25/,0.5,,34002524,170013,2018,http://www.parlgov.org/explore/ITA/election/2018-03-04/,0,,32841025,0
