warno,statenum,stateabb,warname,pbdeadlow,pbdeadhigh,pbdeadbest,tbdeadlow,tbdeadhigh,tbdeadbest,yrbeg1,monbeg1,daybeg1,yrend1,monend1,dayend1,yrbeg2,monbeg2,daybeg2,yrend2,monend2,dayend2,duration,deaths,outcome,initiate,sysstat,prwarpop,prwararm,westhem,europe,africa,mideast,asia,oceania,version,censubsy,subsysea,majpowin,majpowea,edition
139,20,CAN,World War II,37476,37476,37476,24494079,24494079,24494079,1939,9,10,1945,8,14,-999,-999,-999,-999,-999,-999,2166,41992,1,0,1,11565,6,0,1,0,0,0,0,3,0,0,1,1,0
139,325,ITA,World War II,74512,74512,74512,24494079,24494079,24494079,1943,10,18,1945,5,7,-999,-999,-999,-999,-999,-999,568,52400,1,0,1,44643,1702,0,1,1,1,0,0,3,0,0,1,1,0
139,2,USA,World War II,288131,288131,288131,24494079,24494079,24494079,1941,12,7,1945,8,14,-999,-999,-999,-999,-999,-999,1347,405400,1,0,4,133894,1801,0,1,1,1,1,1,3,0,0,1,1,0
139,345,YUG,World War II,567000,567000,567000,24494079,24494079,24494079,1941,4,6,1941,4,17,-999,-999,-999,-999,-999,-999,12,305000,1,0,1,15437,150,0,1,0,0,0,0,3,0,0,1,1,0
139,220,FRN,World War II,160599,160599,160599,24494079,24494079,24494079,1939,9,3,1940,6,22,1944,10,23,1945,8,14,590,210824,1,0,4,41814,581,0,1,0,0,0,0,3,0,0,1,1,0
142,364,USR,Russo-Finnish,50000,71124,71124,73157,94281,94281,1939,11,30,1940,3,12,-999,-999,-999,-999,-999,-999,104,50000,1,1,4,170466,1789,0,1,0,0,0,0,3,0,0,1,0,0
142,375,FIN,Russo-Finnish,23157,23157,23157,73157,94281,94281,1939,11,30,1940,3,12,-999,-999,-999,-999,-999,-999,104,24900,2,0,1,3862,37,0,1,0,0,0,0,3,0,0,1,0,0
145,220,FRN,Franco-Thai,65,700,65,130,1400,765,1940,12,1,1941,1,22,-999,-999,-999,-999,-999,-999,53,700,2,0,1,41726,5000,0,0,0,0,1,0,3,0,0,1,0,1
145,800,THI,Franco-Thai,65,700,700,130,1400,765,1940,12,1,1941,1,22,-999,-999,-999,-999,-999,-999,53,700,1,1,1,15296,-999,0,0,0,0,1,0,3,0,0,1,0,1
147,770,PAK,First Kashmir,1000,6000,6000,2000,7500,7500,1948,7,17,1949,1,1,-999,-999,-999,-999,-999,-999,169,1000,4,0,1,73600,265,0,0,0,0,1,0,3,0,0,0,0,4
147,750,IND,First Kashmir,1000,1500,1500,2000,7500,7500,1948,7,17,1949,1,1,-999,-999,-999,-999,-999,-999,169,1000,3,1,1,349430,321,0,0,0,0,1,0,3,0,0,0,0,4
148,645,IRQ,Palestine,500,500,500,21111,21111,21111,1948,5,15,1948,7,18,1948,10,22,1948,10,31,75,500,2,1,1,4965,31,0,0,0,1,0,0,3,0,0,0,0,0
148,651,EGY,Palestine,1500,1500,1500,21111,21111,21111,1948,5,15,1948,7,18,1948,10,22,1949,1,7,143,2000,2,1,1,19494,64,0,0,0,1,0,0,3,0,0,0,0,0
