ID,Year,WarNo,WarName,bdeadlow,bdeadhigh,bdeadbest,yrlydata,YrBeg1,MonBeg1,DayBeg1,YrEnd1,MonEnd1,DayEnd1,YrBeg2,MonBeg2,DayBeg2,YrEnd2,MonEnd2,DayEnd2,Duration,Deaths,CenSubSy,SubSysEa,MajPowIn,MajPowEa,WestHem,Europe,Africa,MidEast,Asia,Oceania,Edition,Version
1411940,1940,141,World War II: North African Theater,22262,22262,22262,0,1940,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,1,0,0,0,0,3
1411941,1941,141,World War II: North African Theater,22262,22262,22262,0,1940,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,1,0,0,0,0,3
1411942,1942,141,World War II: North African Theater,22262,22262,22262,0,1940,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,1,0,0,0,0,3
1411943,1943,141,World War II: North African Theater,22262,22262,22262,0,1940,9,1,1945,8,14,-999,-999,-999,-999,-999,-999,2175,16634907,0,0,1,1,0,0,1,0,0,0,0,3
1421939,1939,142,Russo-Finnish,36578,47140,47140,0,1939,11,30,1940,3,12,-999,-999,-999,-999,-999,-999,104,74900,0,0,1,0,0,1,0,0,0,0,0,3
1421940,1940,142,Russo-Finnish,36579,47141,47141,0,1939,11,30,1940,3,12,-999,-999,-999,-999,-999,-999,104,74900,0,0,1,0,0,1,0,0,0,0,0,3
1451940,1940,145,Franco-Thai,65,700,382,0,1940,12,1,1941,1,22,-999,-999,-999,-999,-999,-999,53,1400,0,0,1,0,0,0,0,0,1,0,1,3
1451941,1941,145,Franco-Thai,65,700,383,0,1940,12,1,1941,1,22,-999,-999,-999,-999,-999,-999,53,1400,0,0,1,0,0,0,0,0,1,0,1,3
1471948,1948,147,First Kashmir,1000,3750,3750,0,1948,7,17,1949,1,1,-999,-999,-999,-999,-999,-999,169,2000,0,0,0,0,0,0,0,0,1,0,4,3
1471949,1949,147,First Kashmir,1000,3750,3750,0,1948,7,17,1949,1,1,-999,-999,-999,-999,-999,-999,169,2000,0,0,0,0,0,0,0,0,1,0,4,3
1481948,1948,148,Palestine,21011,21011,21011,1,1948,5,15,1948,7,18,1948,10,22,1949,1,7,143,8000,0,0,0,0,0,0,0,1,0,0,0,3
1481949,1949,148,Palestine,100,100,100,1,1948,5,15,1948,7,18,1948,10,22,1949,1,7,143,8000,0,0,0,0,0,0,0,1,0,0,0,3
1511950,1950,151,Korean,502406,750000,627406,1,1950,6,24,1953,7,27,-999,-999,-999,-999,-999,-999,1130,909833,0,0,1,1,0,0,0,0,1,0,0,3
1511951,1951,151,Korean,351684,525000,439184,1,1950,6,24,1953,7,27,-999,-999,-999,-999,-999,-999,1130,909833,0,0,1,1,0,0,0,0,1,0,0,3
1511952,1952,151,Korean,100481,150000,125481,1,1950,6,24,1953,7,27,-999,-999,-999,-999,-999,-999,1130,909833,0,0,1,1,0,0,0,0,1,0,0,3
1511953,1953,151,Korean,50240,75000,62740,1,1950,6,24,1953,7,27,-999,-999,-999,-999,-999,-999,1130,909833,0,0,1,1,0,0,0,0,1,0,0,3
1541956,1956,154,Russo-Hungarian,3171,3171,3171,1,1956,10,23,1956,11,14,-999,-999,-999,-999,-999,-999,23,4002,0,0,1,0,0,1,0,0,0,0,0,3
