country,year,experts,party_id,party,vote,seat,electionyear,family,govt,position,eu_salience,eu_dissent,eu_asylum,eu_budgets,lrgen,lrecon,lrecon_clear,lrecon_salience,galtan,galtan_clear,galtan_salience,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,ethnic_minorities,galtan_new,galtan_new_clear,galtan_new_salience,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership,party_name,eu_position,eu_budget,immigrate_salience,multiculture,multiculture_salience,multiculture_dissent
esp,2017,14,517,CC,.33000001,.30000001,2016,8. regionalist,0,6.4000001,5.2727275,1.8333334,4.8333335,3.6666667,6,6.3076925,6.5,7.3571429,6.1111112,5.6666665,3.8888888,6.7142859,7,1.8,7.5,4.625,2,4.6999998,7,5.875,4.8888888,4.1111112,2,3.25,5.5999999,,,,,,,
esp,2017,14,525,Podemos,18.870001,18,2016,6. radical left,0,4.8571429,5.7142859,3.7142856,6.3846154,2.6666667,2.3846154,1.5,7.9285712,7.8571429,1.2142857,8.8571424,7,1.5,6.8571429,1.5,2.2307692,5.7692308,1.7,1.5,1.4285715,7.7272725,7.2142859,8.7857141,8.6428576,9.1428576,4.7142859,,,,,,,
esp,2017,14,526,C's,13.06,9.1400003,2016,3. liberal,0,6.7692308,6.5714288,.92307693,4.5384617,5.2727275,6.0714288,7.7857141,8.2142859,6.9285712,5.5,7.5,5.5,7.2857141,5.7142859,1.8181819,7.25,5.090909,2.8888888,8,6.0714288,6.9230771,6.4285712,3.6428571,5.3846154,8.5714283,7,,,,,,,
esp,2017,14,550,CDC/PDeCAT,2,2.29,2016,8. regionalist,0,5.6428571,7.5,3.3076923,5.1999998,4.8000002,5.5714288,6.5,6.5,4.7142859,5.8571429,6.2857141,3.4285715,5.3076925,4.3333335,2.2222223,6.0833335,4.375,2.1428571,2.4545455,6.5,6.181818,4.8333335,7.5714288,4.3571429,2.5714285,4.9230771,,,,,,,
fr,2017,20,601,PCF,2.7,1.75,2017,6. radical left,0,2.5789473,5.1578946,2.8499999,4.2352943,1.8421053,1.2631578,.75,8.1999998,6.8947368,3.1052632,7.3499999,5.5500002,2.2,4.5,2.3,4.3333335,5.2105265,1.85,4.3333335,3.5,7.647059,6,6.3499999,6.5,6,6.1999998,,,,,,,
fr,2017,20,602,PS,7.4000001,5.2399998,2017,5. socialist,.5,6.1052632,6.4000001,3.4210527,5.8000002,5,3.4210527,3.3499999,5.6500001,6.3000002,2,8,6.8499999,3.5999999,4.5,3.55,4.352941,5.4210525,3.3499999,3.8333333,3.1111112,7,6.8947368,4.5,3.6500001,5,5.6842103,,,,,,,
fr,2017,20,605,EELV,4.3000002,.17,2017,7. green,0,5.6999998,6.75,2.3157895,5.7222223,4.7222223,2.7368422,3,6.3684211,4.8499999,1.45,8.9499998,7.9000001,1.05,5.9499998,1.9411764,1.9375,6.5789475,1.7222222,2.4444444,.8888889,9.2222223,8.333333,7.6500001,5.0999999,6.9444447,3.3,,,,,,,
fr,2017,20,609,LR,15.8,19.549999,2017,2. conservative,0,4.6500001,5.0500002,5.6999998,3.8499999,4,7.7368422,7.9499998,7.3499999,7.4000001,7.4000001,7.0999999,6.5500002,8.6000004,8.3000002,3.4000001,8.6470585,8.2222223,3.55,8.5,8.2222223,7.3888888,8.2105265,2.9000001,5,3.05,8,,,,,,,
fr,2017,20,610,FN,13.2,1.4,2017,1. radical TAN,0,1.05,8.0500002,3.5999999,1.1,1.05,9.6842108,4.9000001,3.95,5.6500001,8.6499996,7.9499998,7.3499999,9.8500004,9.8000002,.94736844,9.833333,9.7777777,.44999999,9.8888893,9.7777777,9.3888893,9.2777777,8.1000004,9.6999998,7,9.3500004,,,,,,,
fr,2017,20,613,MODEM,4.0999999,7.3299999,2017,3. liberal,.5,6.9499998,8.2105265,.55555558,6,6.1666665,5.5263157,6.4736843,7.5555553,7.1999998,4.4000001,7.3157897,5.2105265,5.9444447,4.4117646,2.8,5.6666665,5.125,2.4705882,5.7058825,4.75,7.4375,5.9411764,3.0555556,3.0526316,5.7368422,8.0588236,,,,,,,
